id,lat,lon
1000452,-28.5748,153.5699
1000453,-28.5758,153.5702
1000454,-28.5767,153.5705
1000455,-28.5776,153.5709
1000456,-28.5786,153.5713
1000457,-28.5795,153.5716
1000458,-28.5804,153.572
1000459,-28.5814,153.5723
1000460,-28.5824,153.5726
1000461,-28.5833,153.5728
1000462,-28.5843,153.5729
1000463,-28.5853,153.5731
1000464,-28.5863,153.5733
1000465,-28.5873,153.5735
1000466,-28.5882,153.5737
1000467,-28.5892,153.574
1000468,-28.5902,153.5743
1000469,-28.5911,153.5748
1000470,-28.5919,153.5752
1000471,-28.5929,153.5756
1000472,-28.5938,153.576
1000473,-28.5947,153.5765
1000474,-28.5956,153.5769
1000475,-28.5965,153.5774
1000476,-28.5973,153.5779
1000477,-28.5982,153.5784
1000478,-28.5989,153.5791
1000479,-28.5997,153.5797
1000480,-28.6005,153.5803
1000481,-28.6012,153.581
1000482,-28.602,153.5816
1000483,-28.6027,153.5823
1000484,-28.6035,153.583
1000485,-28.6042,153.5837
1000486,-28.605,153.5843
1000487,-28.6059,153.5847
1000488,-28.6066,153.5854
1000489,-28.6071,153.5862
1000490,-28.608,153.5866
1000491,-28.609,153.5869
1000492,-28.61,153.5872
1000493,-28.6111,153.5875
1000494,-28.6121,153.5877
1000495,-28.6132,153.588
1000496,-28.6142,153.5883
1000497,-28.6153,153.5886
1000498,-28.6163,153.5888
1000499,-28.6174,153.5891
1000500,-28.6184,153.5894
1000501,-28.6194,153.5897
1000502,-28.6203,153.5901
1000503,-28.6209,153.5906
1000504,-28.6211,153.5915
1000505,-28.6217,153.5922
1000506,-28.6224,153.5929
1000507,-28.6232,153.5935
1000508,-28.624,153.5942
1000509,-28.6248,153.5948
1000510,-28.6256,153.5954
1000511,-28.6265,153.5958
1000512,-28.6272,153.5965
1000513,-28.6278,153.5974
1000514,-28.6285,153.598
1000515,-28.6293,153.5986
1000516,-28.6299,153.5994
1000517,-28.6304,153.6003
1000518,-28.6309,153.6012
1000519,-28.6313,153.6021
1000520,-28.6319,153.6029
1000521,-28.6327,153.6034
1000522,-28.6333,153.6031
1000523,-28.6334,153.604
1000524,-28.6335,153.605
1000525,-28.6337,153.606
1000526,-28.6337,153.607
1000527,-28.6335,153.608
1000528,-28.6334,153.609
1000529,-28.6334,153.61
1000530,-28.6334,153.611
1000531,-28.6334,153.612
1000532,-28.6332,153.613
1000533,-28.6332,153.614
1000534,-28.6332,153.615
1000535,-28.6331,153.616
1000536,-28.633,153.6169
1000537,-28.6332,153.6179
1000538,-28.6329,153.6189
1000539,-28.6329,153.6199
1000540,-28.6329,153.6209
1000541,-28.6327,153.6219
1000542,-28.6326,153.6228
1000543,-28.6324,153.6238
1000544,-28.6322,153.6248
1000545,-28.632,153.6258
1000546,-28.6319,153.6268
1000547,-28.6317,153.6278
1000548,-28.6315,153.6287
1000549,-28.6314,153.6297
1000550,-28.6313,153.6307
1000551,-28.6311,153.6317
1000552,-28.631,153.6327
1000553,-28.6307,153.6337
1000554,-28.6304,153.6346
1000555,-28.6301,153.6356
1000556,-28.6299,153.6366
1000557,-28.63,153.6375
1000558,-28.6301,153.6385
1000559,-28.6304,153.6395
1000560,-28.6311,153.6402
1000561,-28.6319,153.6408
1000562,-28.6326,153.6414
1000563,-28.6335,153.6411
1000564,-28.6345,153.6409
1000565,-28.6355,153.6406
1000566,-28.6365,153.6406
1000567,-28.6374,153.6403
1000568,-28.6384,153.6404
1000569,-28.6394,153.6402
1000570,-28.6404,153.64
1000571,-28.6414,153.6398
1000572,-28.6424,153.6396
1000573,-28.6433,153.6394
1000574,-28.6443,153.6391
1000575,-28.6453,153.6389
1000576,-28.6461,153.6384
1000577,-28.647,153.6379
1000578,-28.6477,153.6372
1000579,-28.6486,153.6366
1000580,-28.6494,153.6362
1000581,-28.6502,153.6355
1000582,-28.6511,153.635
1000583,-28.6518,153.6344
1000584,-28.6527,153.6339
1000585,-28.6536,153.6335
1000586,-28.6545,153.6331
1000587,-28.6554,153.6326
1000588,-28.6562,153.632
1000589,-28.6571,153.6315
1000590,-28.658,153.6311
1000591,-28.659,153.6308
1000592,-28.6599,153.6304
1000593,-28.6608,153.63
1000594,-28.6617,153.6295
1000595,-28.6626,153.6291
1000596,-28.6635,153.6288
1000597,-28.6645,153.6284
1000598,-28.6654,153.6281
1000599,-28.6663,153.6277
1000600,-28.6673,153.6274
1000601,-28.6682,153.6271
1000602,-28.6691,153.6266
1000603,-28.67,153.6262
1000604,-28.671,153.626
1000605,-28.672,153.6257
1000606,-28.673,153.6255
1000607,-28.6739,153.6252
1000608,-28.6748,153.6247
1000609,-28.6757,153.6245
1000610,-28.6766,153.624
1000611,-28.6776,153.6237
1000612,-28.6785,153.6234
1000613,-28.6795,153.6232
1000614,-28.6805,153.6229
1000615,-28.6814,153.6227
1000616,-28.6824,153.6224
1000617,-28.6833,153.6221
1000618,-28.6843,153.6218
1000619,-28.6853,153.6215
1000620,-28.6862,153.6213
1000621,-28.6872,153.6211
1000622,-28.6882,153.6209
1000623,-28.6892,153.6209
1000624,-28.6902,153.6207
1000625,-28.6912,153.6206
1000626,-28.6922,153.6204
1000627,-28.6931,153.6205
1000628,-28.6941,153.6205
1000629,-28.6951,153.6205
1000630,-28.6961,153.6206
1000631,-28.6971,153.6207
1000632,-28.6981,153.6207
1000633,-28.699,153.6209
1000634,-28.6999,153.6214
1000635,-28.7008,153.6219
1000636,-28.7016,153.6224
1000637,-28.7025,153.623
1000638,-28.7033,153.6236
1000639,-28.7042,153.6239
1000640,-28.7052,153.6239
1000641,-28.7062,153.6238
1000642,-28.7072,153.6237
1000643,-28.708,153.6232
1000644,-28.7089,153.6228
1000645,-28.7096,153.6221
1000646,-28.7106,153.6222
1000647,-28.7117,153.6223
1000648,-28.7127,153.6224
1000649,-28.7137,153.6224
1000650,-28.7146,153.6225
1000651,-28.7156,153.6227
1000652,-28.7166,153.6227
1000653,-28.7176,153.6227
1000654,-28.7186,153.6227
1000655,-28.7196,153.6228
1000656,-28.7206,153.6227
1000657,-28.7216,153.6225
1000658,-28.7226,153.6224
1000659,-28.7236,153.6224
1000660,-28.7246,153.6223
1000661,-28.7255,153.6219
1000662,-28.7264,153.6214
1000663,-28.7273,153.6211
1000664,-28.7282,153.6206
1000665,-28.729,153.62
1000666,-28.7297,153.6193
1000667,-28.7305,153.6188
1000668,-28.7314,153.6183
1000669,-28.7323,153.6178
1000670,-28.7332,153.6174
1000671,-28.7341,153.617
1000672,-28.735,153.6165
1000673,-28.736,153.6162
1000674,-28.7369,153.616
1000675,-28.7379,153.6158
1000676,-28.7388,153.6153
1000677,-28.7396,153.6147
1000678,-28.7404,153.6141
1000679,-28.7411,153.6134
1000680,-28.742,153.6131
1000681,-28.743,153.6133
1000682,-28.744,153.6133
1000683,-28.7449,153.6129
1000684,-28.7457,153.6123
1000685,-28.7467,153.6121
1000686,-28.7477,153.6119
1000687,-28.7486,153.6115
1000688,-28.7494,153.611
1000689,-28.7504,153.6107
1000690,-28.7514,153.6104
1000691,-28.7523,153.6103
1000692,-28.7533,153.6102
1000693,-28.7543,153.6101
1000694,-28.7553,153.6098
1000695,-28.7562,153.6093
1000696,-28.757,153.6088
1000697,-28.758,153.6085
1000698,-28.759,153.6083
1000699,-28.76,153.6084
1000700,-28.7609,153.6087
1000701,-28.7619,153.6088
1000702,-28.7629,153.6086
1000703,-28.7639,153.6083
1000704,-28.7648,153.6081
1000705,-28.7657,153.6077
1000706,-28.7666,153.6071
1000707,-28.7675,153.6067
1000708,-28.7683,153.6062
1000709,-28.7692,153.6057
1000710,-28.77,153.6051
1000711,-28.7708,153.6045
1000712,-28.7716,153.6039
1000713,-28.7725,153.6034
1000714,-28.7734,153.6031
1000715,-28.7744,153.603
1000716,-28.7754,153.603
1000717,-28.7764,153.6029
1000718,-28.7774,153.6027
1000719,-28.7784,153.6027
1000720,-28.7794,153.6028
1000721,-28.7804,153.603
1000722,-28.7813,153.6031
1000723,-28.7823,153.6033
1000724,-28.7833,153.6034
1000725,-28.7843,153.6034
